main,base,price
ETH,BTC,0.03375800
LTC,BTC,0.00509700
BNB,BTC,0.00195150
NEO,BTC,0.00154000
QTUM,ETH,0.00971900
EOS,ETH,0.00807600
SNT,ETH,0.00010031
BNT,ETH,0.00461000
BCC,BTC,0.00000000
GAS,BTC,0.00017390
BNB,ETH,0.05778400
BTC,USDT,11469.99000000
ETH,USDT,387.29000000
HSR,BTC,0.00000000
OAX,ETH,0.00000000
DNT,ETH,0.00000000
MCO,ETH,0.01447000
ICN,ETH,0.00000000
MCO,BTC,0.00048770
WTC,BTC,0.00005620
WTC,ETH,0.00166000
LRC,BTC,0.00001716
LRC,ETH,0.00050992
QTUM,BTC,0.00032890
YOYO,BTC,0.00000114
OMG,BTC,0.00048260
OMG,ETH,0.01428900
ZRX,BTC,0.00005849
ZRX,ETH,0.00173695
STRAT,BTC,0.00005732
STRAT,ETH,0.00169200
SNGLS,BTC,0.00000101
SNGLS,ETH,0.00000000
BQX,BTC,0.00001532
BQX,ETH,0.00045090
KNC,BTC,0.00014159
KNC,ETH,0.00418660
FUN,BTC,0.00000043
FUN,ETH,0.00001260
SNM,BTC,0.00000107
SNM,ETH,0.00000000
NEO,ETH,0.04563400
IOTA,BTC,0.00003164
IOTA,ETH,0.00093326
LINK,BTC,0.00133086
LINK,ETH,0.03946300
XVG,BTC,0.00000059
XVG,ETH,0.00001759
SALT,BTC,0.00000000
SALT,ETH,0.00000000
MDA,BTC,0.00003960
MDA,ETH,0.00000000
MTL,BTC,0.00003330
MTL,ETH,0.00098600
SUB,BTC,0.00000000
SUB,ETH,0.00000000
EOS,BTC,0.00027280
SNT,BTC,0.00000339
ETC,ETH,0.01675500
ETC,BTC,0.00056590
MTH,BTC,0.00000099
MTH,ETH,0.00000000
ENG,BTC,0.00005289
ENG,ETH,0.00156620
DNT,BTC,0.00000144
ZEC,BTC,0.00650300
ZEC,ETH,0.19238000
BNT,BTC,0.00015590
AST,BTC,0.00002045
AST,ETH,0.00000000
DASH,BTC,0.00757200
DASH,ETH,0.22456000
OAX,BTC,0.00001865
ICN,BTC,0.00000000
BTG,BTC,0.00087700
BTG,ETH,0.00000000
EVX,BTC,0.00004079
EVX,ETH,0.00120430
REQ,BTC,0.00000339
REQ,ETH,0.00000000
VIB,BTC,0.00000199
VIB,ETH,0.00005940
HSR,ETH,0.00000000
TRX,BTC,0.00000206
TRX,ETH,0.00006119
POWR,BTC,0.00000963
POWR,ETH,0.00028535
ARK,BTC,0.00004352
ARK,ETH,0.00000000
YOYO,ETH,0.00000000
XRP,BTC,0.00002420
XRP,ETH,0.00071558
MOD,BTC,0.00000000
MOD,ETH,0.00000000
ENJ,BTC,0.00001988
ENJ,ETH,0.00058830
STORJ,BTC,0.00003913
STORJ,ETH,0.00115930
BNB,USDT,22.38940000
VEN,BNB,0.00000000
YOYO,BNB,0.00000000
POWR,BNB,0.00000000
VEN,BTC,0.00000000
VEN,ETH,0.00000000
KMD,BTC,0.00007220
KMD,ETH,0.00214100
NULS,BNB,0.00000000
RCN,BTC,0.00000605
RCN,ETH,0.00000000
RCN,BNB,0.00000000
NULS,BTC,0.00003939
NULS,ETH,0.00117306
RDN,BTC,0.00003867
RDN,ETH,0.00000000
RDN,BNB,0.00000000
XMR,BTC,0.00777000
XMR,ETH,0.23017000
DLT,BNB,0.00000000
WTC,BNB,0.02878000
DLT,BTC,0.00000500
DLT,ETH,0.00000000
AMB,BTC,0.00000268
AMB,ETH,0.00000000
AMB,BNB,0.00000000
BCC,ETH,0.00000000
BCC,USDT,0.00000000
BCC,BNB,0.00000000
BAT,BTC,0.00003116
BAT,ETH,0.00092091
BAT,BNB,0.01601000
BCPT,BTC,0.00000267
BCPT,ETH,0.00000000
